# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0986695
# Diagonal elements of inverse mass matrix:
# 0.243526, 0.0825443
516.535,0.845878,0.0986695,3,11,0,-514.894,3.32071,-0.0904712,24.4944,24.2581,23.9176,23.7313,23.605,23.5261,23.582,23.4602,23.0861,23.18
516.588,0.999985,0.0986695,3,9,0,-516.522,3.34759,-0.106097,24.6359,24.3573,23.957,23.7382,23.5901,23.4978,23.5632,23.4206,22.9832,23.0928
516.698,0.940336,0.0986695,5,43,0,-515.098,4.33955,-0.653656,31.6952,29.5509,26.6825,25.2163,24.2626,23.6832,24.0923,23.208,20.6633,21.278
514.306,0.755693,0.0986695,4,31,0,-512.914,3.43057,-0.240972,22.3073,21.7386,20.9355,20.5038,20.2144,20.0351,20.162,19.886,19.0525,19.2596
516.698,1,0.0986695,2,3,0,-514.729,3.52767,-0.188696,26.3813,25.8532,25.1023,24.696,24.4227,24.2529,24.3731,24.1114,23.3164,23.5146
516.809,0.872649,0.0986695,2,3,0,-515.911,3.50554,-0.210671,25.049,24.4898,23.697,23.2692,22.9819,22.8035,22.9297,22.6551,21.8227,22.0299
516.837,0.965799,0.0986695,5,39,0,-515.446,4.048,-0.543236,27.4906,25.9359,23.8258,22.7326,22.0157,21.5779,21.8872,21.2175,19.2653,19.7404
516.164,0.637364,0.0986695,4,23,0,-512.4,4.48349,-0.805871,29.7968,27.3313,24.0985,22.4765,21.4332,20.8039,21.2478,20.2905,17.5836,18.2308
516.057,0.992369,0.0986695,2,3,0,-516.038,4.57315,-0.778272,33.8304,31.1232,27.5604,25.7668,24.6108,23.9126,24.4052,23.3425,20.3279,21.0499
516.322,0.978554,0.0986695,2,7,0,-515.725,4.44402,-0.779411,29.6864,27.3075,24.1772,22.6016,21.5861,20.9729,21.4055,20.4721,17.8246,18.4587
516.614,1,0.0986695,2,3,0,-516.38,4.47768,-0.740845,32.3454,29.8766,26.6116,24.9604,23.8932,23.2476,23.7032,22.7197,19.9175,20.5904
516.747,1,0.0986695,2,3,0,-516.627,4.46161,-0.741261,31.8117,29.3823,26.1697,24.545,23.495,22.8598,23.3081,22.3404,19.5836,20.2456
516.747,0.723136,0.0986695,1,3,0,-515.728,4.46161,-0.741261,31.8117,29.3823,26.1697,24.545,23.495,22.8598,23.3081,22.3404,19.5836,20.2456
517.046,0.989718,0.0986695,5,37,0,-516.252,3.66743,-0.28919,26.4857,25.6774,24.5433,23.9372,23.5324,23.2821,23.4592,23.0743,21.9186,22.2047
