# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0879736
# Diagonal elements of inverse mass matrix:
# 0.258552, 0.0868116
516.474,0.68061,0.0879736,4,23,0,-511.699,3.31617,-0.102682,23.9844,23.7219,23.3445,23.1381,22.9984,22.9113,22.973,22.8384,22.4255,22.5291
516.724,0.964927,0.0879736,4,23,0,-516.084,3.55073,-0.201711,26.5262,25.9589,25.1537,24.7188,24.4265,24.245,24.3734,24.0938,23.2456,23.4568
516.716,0.956995,0.0879736,5,43,0,-516.014,4.30741,-0.634012,31.5185,29.448,26.6713,25.2485,24.3218,23.7583,24.1562,23.2958,20.8139,21.4143
516.004,0.975603,0.0879736,5,39,0,-515.589,3.32023,-0.0543047,25.709,25.5598,25.3439,25.2252,25.1445,25.0941,25.1298,25.0518,24.8113,24.8718
515.19,0.812856,0.0879736,1,1,0,-515.173,3.33709,-0.0409732,26.6213,26.5047,26.3356,26.2425,26.1791,26.1395,26.1676,26.1063,25.9169,25.9646
516.68,0.963078,0.0879736,3,15,0,-514.281,3.47256,-0.199076,24.619,24.0993,23.3614,22.9627,22.6947,22.5282,22.646,22.3896,21.6115,21.8053
516.816,1,0.0879736,2,3,0,-516.702,3.50932,-0.189811,25.8626,25.3418,24.6014,24.201,23.9316,23.7642,23.8827,23.6247,22.8413,23.0365
516.658,0.884325,0.0879736,2,7,0,-515.81,3.43902,-0.177284,24.5186,24.0572,23.4001,23.0441,22.8044,22.6554,22.7609,22.5312,21.8326,22.0069
516.572,0.924321,0.0879736,2,3,0,-515.889,3.43203,-0.134979,25.7805,25.4103,24.8801,24.5914,24.3964,24.275,24.3609,24.1736,23.6007,23.744
516.187,0.945985,0.0879736,3,15,0,-515.48,3.18812,-0.0295691,23.293,23.2193,23.1123,23.0533,23.0131,22.988,23.0058,22.9669,22.8466,22.8769
516.268,0.994243,0.0879736,3,11,0,-516.106,3.24006,-0.0633018,23.4417,23.2832,23.0541,22.9282,22.8428,22.7894,22.8272,22.7447,22.4903,22.5543
516.51,0.999087,0.0879736,3,13,0,-516,3.30959,-0.0829799,24.47,24.2534,23.941,23.7699,23.6538,23.5814,23.6327,23.5208,23.1765,23.2629
515.525,0.779739,0.0879736,1,3,0,-515.181,3.26276,-0.11054,22.4967,22.2317,21.8512,21.6433,21.5027,21.4149,21.477,21.3417,20.9266,21.0306
514.764,0.950444,0.0879736,2,3,0,-514.689,3.2439,-0.117621,21.8661,21.5922,21.1991,20.9846,20.8395,20.7491,20.8131,20.6736,20.246,20.3531
514.619,0.999226,0.0879736,3,11,0,-514.366,3.11841,-0.0421368,21.3587,21.2625,21.123,21.0462,20.9939,20.9613,20.9844,20.9339,20.7777,20.817
515.873,0.992858,0.0879736,2,7,0,-514.856,3.1829,0.0175552,24.6955,24.742,24.8099,24.8476,24.8734,24.8895,24.8781,24.9031,24.9809,24.9612
516.2,1,0.0879736,2,7,0,-515.858,3.17846,-0.0189304,23.4033,23.3558,23.2869,23.2488,23.2228,23.2066,23.2181,23.193,23.1151,23.1347
516.651,0.999992,0.0879736,4,19,0,-516.106,3.41194,-0.132626,25.3481,24.9903,24.4779,24.1988,24.0103,23.8928,23.976,23.7948,23.2406,23.3793
515.782,0.870638,0.0879736,2,7,0,-515.498,3.42369,-0.101026,26.7666,26.4784,26.0638,25.8371,25.6836,25.5878,25.6557,25.5078,25.054,25.1678
516.619,0.999805,0.0879736,5,35,0,-514.332,3.83575,-0.350306,28.8563,27.7931,26.3131,25.528,25.006,24.6842,24.9118,24.4175,22.9441,23.3074
515.601,0.994395,0.0879736,5,47,0,-515.198,4.70366,-0.937835,31.0696,28.0987,24.2696,22.3793,21.175,20.4533,20.962,19.8671,16.8177,17.5402
515.689,0.995208,0.0879736,2,3,0,-515.465,4.76306,-0.891746,35.0901,31.8918,27.7449,25.686,24.37,23.5795,24.1369,22.9365,19.5756,20.3744
516.476,1,0.0879736,4,23,0,-515.007,4.27949,-0.686103,28.5671,26.542,23.8445,22.4711,21.5799,21.0393,21.4209,20.5964,18.2326,18.8024
