# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0995168
# Diagonal elements of inverse mass matrix:
# 0.242407, 0.0828413
516.966,0.993252,0.0995168,4,31,0,-516.051,4.15784,-0.554035,30.2377,28.4945,26.1322,24.9098,24.109,23.6201,23.9655,23.2178,21.0412,21.5705
517.119,0.990082,0.0995168,1,3,0,-516.921,4.1347,-0.570102,28.9115,27.1979,24.8806,23.6838,22.9007,22.423,22.7604,22.0301,19.9079,20.4235
516.528,0.848248,0.0995168,1,3,0,-516.347,4.17707,-0.546059,31.159,29.3879,26.985,25.7406,24.9247,24.4265,24.7785,24.0164,21.7958,22.3361
514.978,0.860175,0.0995168,2,3,0,-514.79,4.03256,-0.583978,25.6193,24.065,21.9669,20.8853,20.1781,19.7471,20.0515,19.3928,17.4814,17.9453
515.975,0.929502,0.0995168,4,19,0,-513.79,3.8549,-0.342918,29.7096,28.6376,27.1439,26.3509,25.8233,25.4979,25.728,25.2282,23.737,24.1049
515.913,0.991647,0.0995168,4,27,0,-514.943,4.08983,-0.477323,31.3357,29.773,27.6338,26.5165,25.7804,25.3294,25.6481,24.9573,22.9279,23.4241
517.184,1,0.0995168,4,23,0,-515.941,3.92697,-0.444637,27.8288,26.5338,24.7534,23.8198,23.2033,22.8249,23.0923,22.5124,20.8023,21.2213
517.155,0.974781,0.0995168,5,35,0,-516.906,3.88044,-0.406973,27.9505,26.7576,25.1095,24.2413,23.6664,23.3129,23.5628,23.0206,21.4147,21.8092
517.188,0.927579,0.0995168,4,31,0,-516.63,3.93536,-0.446818,27.9807,26.6724,24.8742,23.9316,23.3091,22.9272,23.1971,22.6117,20.886,21.3088
517.004,0.967254,0.0995168,4,31,0,-516.241,3.87397,-0.433529,26.7912,25.575,23.9003,23.021,22.4398,22.083,22.3352,21.7881,20.1728,20.5689
517.133,0.963181,0.0995168,2,7,0,-516.721,3.90693,-0.442345,27.3611,26.0942,24.3521,23.4383,22.8347,22.4642,22.7261,22.1582,20.4834,20.8938
517.122,0.996276,0.0995168,5,43,0,-517.064,4.12149,-0.545675,29.4897,27.8146,25.5419,24.3648,23.5931,23.1219,23.4548,22.7339,20.6333,21.1444
515.402,0.705728,0.0995168,4,27,0,-511.973,4.57574,-0.761048,34.7168,31.9976,28.4111,26.6018,25.4341,24.7283,25.2263,24.1516,21.097,21.8295
515.117,0.999385,0.0995168,3,11,0,-514.717,4.73572,-0.856242,35.8217,32.6809,28.5894,26.5493,25.2418,24.4551,25.0099,23.8144,20.4535,21.2543
515.963,0.999904,0.0995168,4,27,0,-513.964,4.03839,-0.448339,30.9533,29.5012,27.5058,26.4599,25.7694,25.3457,25.6452,24.9958,23.0819,23.5507
516.682,0.600332,0.0995168,4,19,0,-511.657,3.56735,-0.261802,24.8671,24.1791,23.2102,22.6907,22.343,22.1278,22.2801,21.9489,20.9513,21.1987
516.272,0.936363,0.0995168,5,35,0,-515.715,4.15567,-0.52538,31.3638,29.6466,27.3107,26.0978,25.3015,24.8148,25.1587,24.4138,22.2379,22.7681
517.079,0.997314,0.0995168,4,27,0,-515.519,3.78891,-0.349023,27.5836,26.5709,25.1611,24.4131,23.9157,23.609,23.8259,23.3549,21.9506,22.2969
516.902,0.998191,0.0995168,5,43,0,-516.618,4.36753,-0.689161,31.0677,28.8558,25.9108,24.4119,23.4395,22.8498,23.2661,22.3667,19.7889,20.4101
516.523,0.78397,0.0995168,2,7,0,-515.422,4.40649,-0.751513,29.6916,27.394,24.3597,22.8272,21.8375,21.239,21.6613,20.7498,18.1562,18.7786
517.175,0.999568,0.0995168,5,43,0,-516.433,3.87234,-0.409348,27.6362,26.45,24.8116,23.9488,23.3775,23.0263,23.2746,22.7359,21.141,21.5327
516.762,0.917956,0.0995168,2,3,0,-516.572,3.82365,-0.416067,26.0851,24.9475,23.3776,22.5516,22.0049,21.6689,21.9064,21.3912,19.8669,20.2411
516.043,0.826487,0.0995168,1,1,0,-516.019,3.80083,-0.425955,25.1579,24.0352,22.488,21.6749,21.1371,20.8068,21.0403,20.5338,19.0371,19.4043
517.166,0.995831,0.0995168,3,15,0,-516.082,3.93283,-0.45311,27.6736,26.3618,24.5605,23.6168,22.994,22.612,22.882,22.2965,20.5719,20.9942
516.33,0.994963,0.0995168,4,31,0,-515.472,4.67697,-0.885745,32.4577,29.5183,25.7041,23.809,22.5971,21.869,22.3824,21.2766,18.1783,18.915
516.004,0.991851,0.0995168,3,11,0,-515.792,4.78324,-0.954574,32.8906,29.6922,25.579,23.5526,22.2631,21.491,22.0353,20.8642,17.6094,18.3796
515.914,0.93709,0.0995168,2,7,0,-515.501,4.84346,-0.976521,33.9112,30.5416,26.2207,24.0977,22.7489,21.9422,22.5108,21.2877,17.8969,18.6981
516.955,0.972352,0.0995168,4,27,0,-514.752,4.29722,-0.643935,30.7835,28.7307,25.9813,24.5743,23.6585,23.1018,23.4949,22.6451,20.197,20.7888
516.876,0.961619,0.0995168,5,43,0,-516.123,3.98355,-0.504642,27.1549,25.7253,23.7752,22.7601,22.0927,21.6843,21.9729,21.3476,19.5168,19.9636
517.072,0.958811,0.0995168,2,3,0,-516.604,4.01009,-0.471966,29.1441,27.7066,25.7374,24.7083,24.0299,23.6142,23.908,23.2712,21.3993,21.8571
517.117,0.99609,0.0995168,4,23,0,-516.971,4.09611,-0.528539,29.4242,27.8038,25.6005,24.4569,23.7062,23.2474,23.5716,22.8696,20.8196,21.3191
517.026,0.973562,0.0995168,1,1,0,-517.022,4.10177,-0.523638,29.788,28.1624,25.9505,24.8018,24.0475,23.5864,23.9122,23.2065,21.1448,21.6473
516.901,0.97938,0.0995168,4,31,0,-516.691,3.9875,-0.448441,29.4136,28.0335,26.1369,25.1429,24.4866,24.0839,24.3685,23.7513,21.9323,22.3779
517.175,0.947033,0.0995168,2,3,0,-516.625,3.99339,-0.474299,28.5714,27.1553,25.2161,24.2029,23.5353,23.1261,23.4153,22.7885,20.9467,21.3971
517.166,0.993406,0.0995168,4,27,0,-517.002,4.07505,-0.530379,28.7394,27.1514,24.9925,23.8723,23.1371,22.6878,23.0052,22.3177,20.3106,20.7995
517.124,0.989648,0.0995168,4,23,0,-517.028,4.15734,-0.571439,29.5203,27.7666,25.3955,24.1712,23.3701,22.8815,23.2266,22.4796,20.3093,20.8365
516.467,0.813854,0.0995168,2,3,0,-516.282,4.11285,-0.594155,27.382,25.6927,23.4155,22.2429,21.4769,21.0102,21.3398,20.6267,18.5602,19.0614
513.879,0.998882,0.0995168,5,35,0,-512.595,5.3489,-1.25302,38.6872,33.8257,27.8126,24.9568,23.1789,22.1295,22.868,21.2862,17.0376,18.0225
511.818,0.538345,0.0995168,1,3,0,-510.322,5.23326,-1.29332,32.636,28.4119,23.2146,20.7585,19.2339,18.3358,18.9677,17.615,13.9986,14.8346
512.695,0.975869,0.0995168,3,11,0,-511.021,5.49833,-1.31925,41.0764,35.6607,29.0196,25.8912,23.953,22.8126,23.6148,21.8982,17.3225,18.3783
512.539,0.871053,0.0995168,2,3,0,-511,5.50802,-1.4087,36.7534,31.6032,25.3609,22.4526,20.6625,19.6138,20.3511,18.7755,14.618,15.5714
514.234,0.806502,0.0995168,4,19,0,-509.828,5.00795,-1.01388,38.006,34.0927,29.0991,26.6567,25.1094,24.1855,24.8365,23.437,19.5734,20.484
514.012,1,0.0995168,2,7,0,-513.766,4.98914,-1.12523,32.0872,28.442,23.8574,21.6456,20.2557,19.4302,20.0115,18.764,15.3638,16.159
515.621,0.981764,0.0995168,5,47,0,-513.535,4.12216,-0.622043,26.6158,24.8993,22.5937,21.4107,20.6394,20.1701,20.5015,19.7847,17.7146,18.2158
